Shareholder - Name	Issuer - Name	Security - Type	Security - Report Date	Security - Market Value	Data Source URL
AP3	Tesco PLC	Bond	2025-12-31	601,074	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	Trenum AB	Bond	2025-12-31	298,953	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	Unilever PLC	Bond	2025-12-31	55,618	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	United States of America	Bond	2025-12-31	40,414,852	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	Vasakronan Holding AB	Bond	2025-12-31	330,928	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	Visa Inc	Bond	2025-12-31	229,847	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	Volkswagen AG	Bond	2025-12-31	594,229	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	Volvo AB	Bond	2025-12-31	198,989	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	Willhem AB	Bond	2025-12-31	410,098	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	World Bank Group/The	Bond	2025-12-31	4,739,608	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
