Shareholder - Name	Issuer - Name	Security - Report Date	Security - Market Value - Amount	Security - Market Value - Multiplier	Security - Market Value - Currency Code	Stock - Percent Ownership	Data Source URL
BPL Pension	Compagnie Financiere Richemont	2023-12-31	2.343	x1_000	EUR	0,01%	https://www.bplpensioen.nl/beleggen
BPL Pension	Credit Agricole Covered Bonds	2023-12-31	17.888	x1_000	EUR	0,11%	https://www.bplpensioen.nl/beleggen
BPL Pension	CREDIT AGRICOLE SA	2023-12-31	16.682	x1_000	EUR	0,10%	https://www.bplpensioen.nl/beleggen
BPL Pension	Credit Logement SA	2023-12-31	773	x1_000	EUR	0,00%	https://www.bplpensioen.nl/beleggen
BPL Pension	Credit Mutuel Arkea	2023-12-31	4.253	x1_000	EUR	0,03%	https://www.bplpensioen.nl/beleggen
BPL Pension	CRELAN SA	2023-12-31	3.437	x1_000	EUR	0,02%	https://www.bplpensioen.nl/beleggen
BPL Pension	CROMWELL EREIT LU FINCO	2023-12-31	4.427	x1_000	EUR	0,03%	https://www.bplpensioen.nl/beleggen
BPL Pension	Danske Bank A/S	2023-12-31	10.924	x1_000	EUR	0,07%	https://www.bplpensioen.nl/beleggen
BPL Pension	DEUTSCHE ANN FIN BV	2023-12-31	4.207	x1_000	EUR	0,03%	https://www.bplpensioen.nl/beleggen
BPL Pension	Deutsche Bahn Finance Bv	2023-12-31	7.199	x1_000	EUR	0,04%	https://www.bplpensioen.nl/beleggen
BPL Pension	Deutsche Bank AG	2023-12-31	15.838	x1_000	EUR	0,10%	https://www.bplpensioen.nl/beleggen
BPL Pension	Deutsche Boerse AG	2023-12-31	11.141	x1_000	EUR	0,07%	https://www.bplpensioen.nl/beleggen
BPL Pension	DH Europe Finance SA	2023-12-31	5.681	x1_000	EUR	0,03%	https://www.bplpensioen.nl/beleggen
BPL Pension	DnB ASA	2023-12-31	12.486	x1_000	EUR	0,08%	https://www.bplpensioen.nl/beleggen
BPL Pension	DVI DT VERMOEGENS IMMVWL	2023-12-31	3.534	x1_000	EUR	0,02%	https://www.bplpensioen.nl/beleggen
BPL Pension	East Japan Railway Co	2023-12-31	3.444	x1_000	EUR	0,02%	https://www.bplpensioen.nl/beleggen
BPL Pension	Edenred	2023-12-31	3.466	x1_000	EUR	0,02%	https://www.bplpensioen.nl/beleggen
BPL Pension	Overzicht beleggingen per 31-12-2023 Pagina 1Electricite de France	2023-12-31	7.834	x1_000	EUR	0,05%	https://www.bplpensioen.nl/beleggen
BPL Pension	Elia System Operator SA/NV	2023-12-31	1.466	x1_000	EUR	0,01%	https://www.bplpensioen.nl/beleggen
BPL Pension	Elis sa	2023-12-31	581	x1_000	EUR	0,00%	https://www.bplpensioen.nl/beleggen
